condition,trial,sample,neuron,physical_coordinate,ideal_input_s,nominal_input_s,first_spike_s,fired,spike_count
M4_same-quadrant_broadcast,0,2,0,0,5e-06,4.9999999999999996e-06,8.439999999999999e-06,1,1
M4_same-quadrant_broadcast,0,2,1,1,5e-06,4.9999999999999996e-06,9.423999999999998e-06,1,1
M4_same-quadrant_broadcast,0,2,2,2,5e-06,4.9999999999999996e-06,8.639999999999999e-06,1,1
M4_same-quadrant_broadcast,0,2,3,3,5e-06,4.9999999999999996e-06,9.463999999999998e-06,1,1
M4_same-quadrant_broadcast,1,0,0,0,2.5e-05,2.4999999999999998e-05,2.8575999999999995e-05,1,1
M4_same-quadrant_broadcast,1,0,1,1,2.5e-05,2.4999999999999998e-05,2.9703999999999995e-05,1,1
M4_same-quadrant_broadcast,1,0,2,2,2.5e-05,2.4999999999999998e-05,2.8863999999999997e-05,1,1
M4_same-quadrant_broadcast,1,0,3,3,2.5e-05,2.4999999999999998e-05,2.9663999999999996e-05,1,1
M4_same-quadrant_broadcast,1,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.8535999999999997e-05,1,1
M4_same-quadrant_broadcast,1,1,1,1,1.5000000000000002e-05,1.4999999999999999e-05,1.9552e-05,1,1
M4_same-quadrant_broadcast,1,1,2,2,1.5000000000000002e-05,1.4999999999999999e-05,1.8784e-05,1,1
M4_same-quadrant_broadcast,1,1,3,3,1.5000000000000002e-05,1.4999999999999999e-05,1.9512e-05,1,1
M4_same-quadrant_broadcast,1,2,0,0,5e-06,4.9999999999999996e-06,8.543999999999998e-06,1,1
M4_same-quadrant_broadcast,1,2,1,1,5e-06,4.9999999999999996e-06,9.688e-06,1,1
M4_same-quadrant_broadcast,1,2,2,2,5e-06,4.9999999999999996e-06,8.696e-06,1,1
M4_same-quadrant_broadcast,1,2,3,3,5e-06,4.9999999999999996e-06,9.183999999999999e-06,1,1
M4_same-quadrant_broadcast,2,0,0,0,2.5e-05,2.4999999999999998e-05,2.8495999999999996e-05,1,1
M4_same-quadrant_broadcast,2,0,1,1,2.5e-05,2.4999999999999998e-05,2.9415999999999994e-05,1,1
M4_same-quadrant_broadcast,2,0,2,2,2.5e-05,2.4999999999999998e-05,2.8679999999999996e-05,1,1
M4_same-quadrant_broadcast,2,0,3,3,2.5e-05,2.4999999999999998e-05,2.9583999999999997e-05,1,1
M4_same-quadrant_broadcast,2,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.8527999999999996e-05,1,1
M4_same-quadrant_broadcast,2,1,1,1,1.5000000000000002e-05,1.4999999999999999e-05,1.9383999999999996e-05,1,1
M4_same-quadrant_broadcast,2,1,2,2,1.5000000000000002e-05,1.4999999999999999e-05,1.8767999999999997e-05,1,1
M4_same-quadrant_broadcast,2,1,3,3,1.5000000000000002e-05,1.4999999999999999e-05,1.9455999999999998e-05,1,1
M4_same-quadrant_broadcast,2,2,0,0,5e-06,4.9999999999999996e-06,8.527999999999999e-06,1,1
M4_same-quadrant_broadcast,2,2,1,1,5e-06,4.9999999999999996e-06,9.607999999999998e-06,1,1
M4_same-quadrant_broadcast,2,2,2,2,5e-06,4.9999999999999996e-06,8.711999999999999e-06,1,1
M4_same-quadrant_broadcast,2,2,3,3,5e-06,4.9999999999999996e-06,9.591999999999999e-06,1,1
M4_same-quadrant_broadcast,3,0,0,0,2.5e-05,2.4999999999999998e-05,2.8463999999999997e-05,1,1
M4_same-quadrant_broadcast,3,0,1,1,2.5e-05,2.4999999999999998e-05,2.9495999999999997e-05,1,1
M4_same-quadrant_broadcast,3,0,2,2,2.5e-05,2.4999999999999998e-05,2.8839999999999995e-05,1,1
M4_same-quadrant_broadcast,3,0,3,3,2.5e-05,2.4999999999999998e-05,2.9415999999999994e-05,1,1
M4_same-quadrant_broadcast,3,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.8319999999999997e-05,1,1
M4_same-quadrant_broadcast,3,1,1,1,1.5000000000000002e-05,1.4999999999999999e-05,1.9552e-05,1,1
M4_same-quadrant_broadcast,3,1,2,2,1.5000000000000002e-05,1.4999999999999999e-05,1.8751999999999996e-05,1,1
M4_same-quadrant_broadcast,3,1,3,3,1.5000000000000002e-05,1.4999999999999999e-05,1.9512e-05,1,1
M4_same-quadrant_broadcast,3,2,0,0,5e-06,4.9999999999999996e-06,8.463999999999999e-06,1,1
M4_same-quadrant_broadcast,3,2,1,1,5e-06,4.9999999999999996e-06,9.447999999999998e-06,1,1
M4_same-quadrant_broadcast,3,2,2,2,5e-06,4.9999999999999996e-06,8.72e-06,1,1
M4_same-quadrant_broadcast,3,2,3,3,5e-06,4.9999999999999996e-06,9.487999999999998e-06,1,1
M4_same-quadrant_broadcast,4,0,0,0,2.5e-05,2.4999999999999998e-05,2.8471999999999994e-05,1,1
M4_same-quadrant_broadcast,4,0,1,1,2.5e-05,2.4999999999999998e-05,2.9503999999999997e-05,1,1
M4_same-quadrant_broadcast,4,0,2,2,2.5e-05,2.4999999999999998e-05,2.9031999999999996e-05,1,1
M4_same-quadrant_broadcast,4,0,3,3,2.5e-05,2.4999999999999998e-05,2.9407999999999997e-05,1,1
M4_same-quadrant_broadcast,4,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.8551999999999998e-05,1,1
M4_same-quadrant_broadcast,4,1,1,1,1.5000000000000002e-05,1.4999999999999999e-05,1.9423999999999996e-05,1,1
M4_same-quadrant_broadcast,4,1,2,2,1.5000000000000002e-05,1.4999999999999999e-05,1.8663999999999996e-05,1,1
M4_same-quadrant_broadcast,4,1,3,3,1.5000000000000002e-05,1.4999999999999999e-05,1.9479999999999996e-05,1,1
M4_same-quadrant_broadcast,4,2,0,0,5e-06,4.9999999999999996e-06,8.615999999999998e-06,1,1
M4_same-quadrant_broadcast,4,2,1,1,5e-06,4.9999999999999996e-06,9.495999999999999e-06,1,1
M4_same-quadrant_broadcast,4,2,2,2,5e-06,4.9999999999999996e-06,8.663999999999999e-06,1,1
M4_same-quadrant_broadcast,4,2,3,3,5e-06,4.9999999999999996e-06,9.359999999999998e-06,1,1
M4_same-quadrant_broadcast,5,0,0,0,2.5e-05,2.4999999999999998e-05,2.8695999999999994e-05,1,1
M4_same-quadrant_broadcast,5,0,1,1,2.5e-05,2.4999999999999998e-05,2.9519999999999995e-05,1,1
M4_same-quadrant_broadcast,5,0,2,2,2.5e-05,2.4999999999999998e-05,2.8599999999999997e-05,1,1
M4_same-quadrant_broadcast,5,0,3,3,2.5e-05,2.4999999999999998e-05,2.9543999999999997e-05,1,1
M4_same-quadrant_broadcast,5,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.8535999999999997e-05,1,1
M4_same-quadrant_broadcast,5,1,1,1,1.5000000000000002e-05,1.4999999999999999e-05,1.9464e-05,1,1
M4_same-quadrant_broadcast,5,1,2,2,1.5000000000000002e-05,1.4999999999999999e-05,1.8439999999999996e-05,1,1
M4_same-quadrant_broadcast,5,1,3,3,1.5000000000000002e-05,1.4999999999999999e-05,1.9335999999999996e-05,1,1
M4_same-quadrant_broadcast,5,2,0,0,5e-06,4.9999999999999996e-06,8.519999999999998e-06,1,1
M4_same-quadrant_broadcast,5,2,1,1,5e-06,4.9999999999999996e-06,9.431999999999999e-06,1,1
M4_same-quadrant_broadcast,5,2,2,2,5e-06,4.9999999999999996e-06,8.767999999999998e-06,1,1
M4_same-quadrant_broadcast,5,2,3,3,5e-06,4.9999999999999996e-06,9.343999999999999e-06,1,1
M4_same-quadrant_broadcast,6,0,0,0,2.5e-05,2.4999999999999998e-05,2.8623999999999996e-05,1,1
M4_same-quadrant_broadcast,6,0,1,1,2.5e-05,2.4999999999999998e-05,2.9447999999999997e-05,1,1
M4_same-quadrant_broadcast,6,0,2,2,2.5e-05,2.4999999999999998e-05,2.8839999999999995e-05,1,1
M4_same-quadrant_broadcast,6,0,3,3,2.5e-05,2.4999999999999998e-05,2.9575999999999996e-05,1,1
M4_same-quadrant_broadcast,6,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.8472e-05,1,1
M4_same-quadrant_broadcast,6,1,1,1,1.5000000000000002e-05,1.4999999999999999e-05,1.9175999999999997e-05,1,1
M4_same-quadrant_broadcast,6,1,2,2,1.5000000000000002e-05,1.4999999999999999e-05,1.8735999999999998e-05,1,1
M4_same-quadrant_broadcast,6,1,3,3,1.5000000000000002e-05,1.4999999999999999e-05,1.9303999999999997e-05,1,1
M4_same-quadrant_broadcast,6,2,0,0,5e-06,4.9999999999999996e-06,8.687999999999999e-06,1,1
M4_same-quadrant_broadcast,6,2,1,1,5e-06,4.9999999999999996e-06,9.535999999999998e-06,1,1
M4_same-quadrant_broadcast,6,2,2,2,5e-06,4.9999999999999996e-06,8.743999999999998e-06,1,1
M4_same-quadrant_broadcast,6,2,3,3,5e-06,4.9999999999999996e-06,9.511999999999998e-06,1,1
M4_same-quadrant_broadcast,7,0,0,0,2.5e-05,2.4999999999999998e-05,2.8631999999999996e-05,1,1
M4_same-quadrant_broadcast,7,0,1,1,2.5e-05,2.4999999999999998e-05,2.9479999999999996e-05,1,1
M4_same-quadrant_broadcast,7,0,2,2,2.5e-05,2.4999999999999998e-05,2.8903999999999996e-05,1,1
M4_same-quadrant_broadcast,7,0,3,3,2.5e-05,2.4999999999999998e-05,2.9479999999999996e-05,1,1
M4_same-quadrant_broadcast,7,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.852e-05,1,1
M4_same-quadrant_broadcast,7,1,1,1,1.5000000000000002e-05,1.4999999999999999e-05,1.9591999999999998e-05,1,1
M4_same-quadrant_broadcast,7,1,2,2,1.5000000000000002e-05,1.4999999999999999e-05,1.8696e-05,1,1
M4_same-quadrant_broadcast,7,1,3,3,1.5000000000000002e-05,1.4999999999999999e-05,1.9455999999999998e-05,1,1
M4_same-quadrant_broadcast,7,2,0,0,5e-06,4.9999999999999996e-06,8.407999999999998e-06,1,1
M4_same-quadrant_broadcast,7,2,1,1,5e-06,4.9999999999999996e-06,9.495999999999999e-06,1,1
M4_same-quadrant_broadcast,7,2,2,2,5e-06,4.9999999999999996e-06,8.511999999999999e-06,1,1
M4_same-quadrant_broadcast,7,2,3,3,5e-06,4.9999999999999996e-06,9.351999999999998e-06,1,1
