condition,trial,sample,neuron,physical_coordinate,ideal_input_s,nominal_input_s,first_spike_s,fired,spike_count
M4_same-quadrant_broadcast,0,0,1,1,2.5e-05,2.4999999999999998e-05,3.167419743779166e-05,1,1
M4_same-quadrant_broadcast,0,0,2,2,2.5e-05,2.4999999999999998e-05,3.070428977747632e-05,1,1
M4_same-quadrant_broadcast,0,0,3,3,2.5e-05,2.4999999999999998e-05,2.9346495051962287e-05,1,1
M4_same-quadrant_broadcast,0,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.90438799873641e-05,1,1
M4_same-quadrant_broadcast,0,1,1,1,1.5000000000000002e-05,1.4999999999999999e-05,2.0787354740240972e-05,1,1
M4_same-quadrant_broadcast,0,1,2,2,1.5000000000000002e-05,1.4999999999999999e-05,1.9574872233102354e-05,1,1
M4_same-quadrant_broadcast,0,1,3,3,1.5000000000000002e-05,1.4999999999999999e-05,1.824673377010097e-05,1,1
M4_same-quadrant_broadcast,0,2,0,0,5e-06,4.9999999999999996e-06,8.914268353301985e-06,1,1
M4_same-quadrant_broadcast,0,2,1,1,5e-06,4.9999999999999996e-06,1.109481666126268e-05,1,1
M4_same-quadrant_broadcast,0,2,2,2,5e-06,4.9999999999999996e-06,1.0613988662873738e-05,1,1
M4_same-quadrant_broadcast,0,2,3,3,5e-06,4.9999999999999996e-06,9.011599730374461e-06,1,1
M4_same-quadrant_broadcast,1,0,0,0,2.5e-05,2.4999999999999998e-05,2.8168277383797035e-05,1,1
M4_same-quadrant_broadcast,1,0,1,1,2.5e-05,2.4999999999999998e-05,3.213753316571779e-05,1,1
M4_same-quadrant_broadcast,1,0,2,2,2.5e-05,2.4999999999999998e-05,3.0298362780048935e-05,1,1
M4_same-quadrant_broadcast,1,0,3,3,2.5e-05,2.4999999999999998e-05,2.887421952735994e-05,1,1
M4_same-quadrant_broadcast,1,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.833996563596431e-05,1,1
M4_same-quadrant_broadcast,1,1,1,1,1.5000000000000002e-05,1.4999999999999999e-05,2.1854386305958357e-05,1,1
M4_same-quadrant_broadcast,1,1,2,2,1.5000000000000002e-05,1.4999999999999999e-05,2.056809911548934e-05,1,1
M4_same-quadrant_broadcast,1,1,3,3,1.5000000000000002e-05,1.4999999999999999e-05,1.921018242236023e-05,1,1
M4_same-quadrant_broadcast,1,2,0,0,5e-06,4.9999999999999996e-06,8.459539921377869e-06,1,1
M4_same-quadrant_broadcast,1,2,1,1,5e-06,4.9999999999999996e-06,9.855662733908332e-06,1,1
M4_same-quadrant_broadcast,1,2,2,2,5e-06,4.9999999999999996e-06,1.1239385808961325e-05,1,1
M4_same-quadrant_broadcast,1,2,3,3,5e-06,4.9999999999999996e-06,9.592735873253553e-06,1,1
M4_same-quadrant_broadcast,2,0,0,0,2.5e-05,2.4999999999999998e-05,2.8890080966691613e-05,1,1
M4_same-quadrant_broadcast,2,0,1,1,2.5e-05,2.4999999999999998e-05,3.067569410582221e-05,1,1
M4_same-quadrant_broadcast,2,0,2,2,2.5e-05,2.4999999999999998e-05,2.9905540523086606e-05,1,1
M4_same-quadrant_broadcast,2,0,3,3,2.5e-05,2.4999999999999998e-05,3.0321251626947675e-05,1,1
M4_same-quadrant_broadcast,2,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.9717999990533397e-05,1,1
M4_same-quadrant_broadcast,2,1,1,1,1.5000000000000002e-05,1.4999999999999999e-05,2.0808664205062388e-05,1,1
M4_same-quadrant_broadcast,2,1,2,2,1.5000000000000002e-05,1.4999999999999999e-05,2.051624399973387e-05,1,1
M4_same-quadrant_broadcast,2,1,3,3,1.5000000000000002e-05,1.4999999999999999e-05,1.9499402503760716e-05,1,1
M4_same-quadrant_broadcast,2,2,0,0,5e-06,4.9999999999999996e-06,8.803504272484789e-06,1,1
M4_same-quadrant_broadcast,2,2,1,1,5e-06,4.9999999999999996e-06,1.14711116479597e-05,1,1
M4_same-quadrant_broadcast,2,2,2,2,5e-06,4.9999999999999996e-06,1.049715710962105e-05,1,1
M4_same-quadrant_broadcast,2,2,3,3,5e-06,4.9999999999999996e-06,8.99594024412311e-06,1,1
M4_same-quadrant_broadcast,3,0,0,0,2.5e-05,2.4999999999999998e-05,2.9821657780495465e-05,1,1
M4_same-quadrant_broadcast,3,0,1,1,2.5e-05,2.4999999999999998e-05,3.282897583804071e-05,1,1
M4_same-quadrant_broadcast,3,0,2,2,2.5e-05,2.4999999999999998e-05,3.125370249585316e-05,1,1
M4_same-quadrant_broadcast,3,0,3,3,2.5e-05,2.4999999999999998e-05,2.894191075250975e-05,1,1
M4_same-quadrant_broadcast,3,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.9137272642300375e-05,1,1
M4_same-quadrant_broadcast,3,1,1,1,1.5000000000000002e-05,1.4999999999999999e-05,2.1288038320510627e-05,1,1
M4_same-quadrant_broadcast,3,1,2,2,1.5000000000000002e-05,1.4999999999999999e-05,2.1575168588517854e-05,1,1
M4_same-quadrant_broadcast,3,1,3,3,1.5000000000000002e-05,1.4999999999999999e-05,2.0209170299775346e-05,1,1
M4_same-quadrant_broadcast,3,2,0,0,5e-06,4.9999999999999996e-06,9.928459651347887e-06,1,1
M4_same-quadrant_broadcast,3,2,1,1,5e-06,4.9999999999999996e-06,1.3164596518777009e-05,1,1
M4_same-quadrant_broadcast,3,2,2,2,5e-06,4.9999999999999996e-06,1.0431306794728305e-05,1,1
M4_same-quadrant_broadcast,3,2,3,3,5e-06,4.9999999999999996e-06,1.0827863623739103e-05,1,1
M4_same-quadrant_broadcast,4,0,0,0,2.5e-05,2.4999999999999998e-05,2.7392082930708963e-05,1,1
M4_same-quadrant_broadcast,4,0,1,1,2.5e-05,2.4999999999999998e-05,3.028179923432648e-05,1,1
M4_same-quadrant_broadcast,4,0,2,2,2.5e-05,2.4999999999999998e-05,2.8901184872037783e-05,1,1
M4_same-quadrant_broadcast,4,0,3,3,2.5e-05,2.4999999999999998e-05,2.8814677062698826e-05,1,1
M4_same-quadrant_broadcast,4,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.821285055500652e-05,1,1
M4_same-quadrant_broadcast,4,1,1,1,1.5000000000000002e-05,1.4999999999999999e-05,2.053393244639695e-05,1,1
M4_same-quadrant_broadcast,4,1,2,2,1.5000000000000002e-05,1.4999999999999999e-05,2.1246522700379646e-05,1,1
M4_same-quadrant_broadcast,4,1,3,3,1.5000000000000002e-05,1.4999999999999999e-05,1.8074937968467256e-05,1,1
M4_same-quadrant_broadcast,4,2,0,0,5e-06,4.9999999999999996e-06,9.903012316673887e-06,1,1
M4_same-quadrant_broadcast,4,2,1,1,5e-06,4.9999999999999996e-06,1.1939713334585494e-05,1,1
M4_same-quadrant_broadcast,4,2,2,2,5e-06,4.9999999999999996e-06,9.964446071180617e-06,1,1
M4_same-quadrant_broadcast,4,2,3,3,5e-06,4.9999999999999996e-06,1.013069714713527e-05,1,1
M4_same-quadrant_broadcast,5,0,0,0,2.5e-05,2.4999999999999998e-05,2.9076518912147688e-05,1,1
M4_same-quadrant_broadcast,5,0,1,1,2.5e-05,2.4999999999999998e-05,3.215449781386989e-05,1,1
M4_same-quadrant_broadcast,5,0,2,2,2.5e-05,2.4999999999999998e-05,3.127340589918627e-05,1,1
M4_same-quadrant_broadcast,5,0,3,3,2.5e-05,2.4999999999999998e-05,3.0080996485116936e-05,1,1
M4_same-quadrant_broadcast,5,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.751347422576101e-05,1,1
M4_same-quadrant_broadcast,5,1,1,1,1.5000000000000002e-05,1.4999999999999999e-05,2.2559404909223028e-05,1,1
M4_same-quadrant_broadcast,5,1,2,2,1.5000000000000002e-05,1.4999999999999999e-05,1.982334695760701e-05,1,1
M4_same-quadrant_broadcast,5,1,3,3,1.5000000000000002e-05,1.4999999999999999e-05,2.0183783216503364e-05,1,1
M4_same-quadrant_broadcast,5,2,0,0,5e-06,4.9999999999999996e-06,9.503607651958541e-06,1,1
M4_same-quadrant_broadcast,5,2,1,1,5e-06,4.9999999999999996e-06,1.085047771254759e-05,1,1
M4_same-quadrant_broadcast,5,2,2,2,5e-06,4.9999999999999996e-06,1.2096942843324718e-05,1,1
M4_same-quadrant_broadcast,5,2,3,3,5e-06,4.9999999999999996e-06,8.738779422458083e-06,1,1
M4_same-quadrant_broadcast,6,0,0,0,2.5e-05,2.4999999999999998e-05,2.834192890525662e-05,1,1
M4_same-quadrant_broadcast,6,0,1,1,2.5e-05,2.4999999999999998e-05,3.0060003421195483e-05,1,1
M4_same-quadrant_broadcast,6,0,2,2,2.5e-05,2.4999999999999998e-05,3.0718320792484874e-05,1,1
M4_same-quadrant_broadcast,6,0,3,3,2.5e-05,2.4999999999999998e-05,2.8845738450456886e-05,1,1
M4_same-quadrant_broadcast,6,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.9502665177749484e-05,1,1
M4_same-quadrant_broadcast,6,1,1,1,1.5000000000000002e-05,1.4999999999999999e-05,2.153886107804335e-05,1,1
M4_same-quadrant_broadcast,6,1,2,2,1.5000000000000002e-05,1.4999999999999999e-05,2.0832674343398236e-05,1,1
M4_same-quadrant_broadcast,6,1,3,3,1.5000000000000002e-05,1.4999999999999999e-05,2.0339522934747e-05,1,1
M4_same-quadrant_broadcast,6,2,0,0,5e-06,4.9999999999999996e-06,9.395487693695421e-06,1,1
M4_same-quadrant_broadcast,6,2,1,1,5e-06,4.9999999999999996e-06,1.199459700168914e-05,1,1
M4_same-quadrant_broadcast,6,2,2,2,5e-06,4.9999999999999996e-06,9.565001799264987e-06,1,1
M4_same-quadrant_broadcast,6,2,3,3,5e-06,4.9999999999999996e-06,9.278370198268079e-06,1,1
M4_same-quadrant_broadcast,7,0,0,0,2.5e-05,2.4999999999999998e-05,2.8284824496452414e-05,1,1
M4_same-quadrant_broadcast,7,0,1,1,2.5e-05,2.4999999999999998e-05,3.079203489346139e-05,1,1
M4_same-quadrant_broadcast,7,0,2,2,2.5e-05,2.4999999999999998e-05,3.0396582466522038e-05,1,1
M4_same-quadrant_broadcast,7,0,3,3,2.5e-05,2.4999999999999998e-05,3.083780658833005e-05,1,1
M4_same-quadrant_broadcast,7,1,0,0,1.5000000000000002e-05,1.4999999999999999e-05,1.8611943571544746e-05,1,1
M4_same-quadrant_broadcast,7,1,1,1,1.5000000000000002e-05,1.4999999999999999e-05,2.173899945650444e-05,1,1
M4_same-quadrant_broadcast,7,1,2,2,1.5000000000000002e-05,1.4999999999999999e-05,2.0714142349598866e-05,1,1
M4_same-quadrant_broadcast,7,1,3,3,1.5000000000000002e-05,1.4999999999999999e-05,1.989345816962109e-05,1,1
M4_same-quadrant_broadcast,7,2,0,0,5e-06,4.9999999999999996e-06,9.215316518642871e-06,1,1
M4_same-quadrant_broadcast,7,2,1,1,5e-06,4.9999999999999996e-06,1.2256655872801893e-05,1,1
M4_same-quadrant_broadcast,7,2,2,2,5e-06,4.9999999999999996e-06,1.0061375975000552e-05,1,1
M4_same-quadrant_broadcast,7,2,3,3,5e-06,4.9999999999999996e-06,7.932529765518955e-06,1,1
